contribution_to_original_words,hallucination_change,length_group,net_reduction,original_count,pair_id,pos,steer_count,supported_change
0.014925373134328358,unresolved,shorter,1,6,38438,ADJ,5,mixed
0.029850746268656716,unresolved,shorter,2,9,38438,ADP,7,mixed
0.014925373134328358,unresolved,shorter,1,2,38438,ADV,1,mixed
-0.014925373134328358,unresolved,shorter,-1,4,38438,AUX,5,mixed
0.014925373134328358,unresolved,shorter,1,3,38438,CCONJ,2,mixed
0.07462686567164178,unresolved,shorter,5,13,38438,DET,8,mixed
0.04477611940298507,unresolved,shorter,3,16,38438,NOUN,13,mixed
-0.014925373134328358,unresolved,shorter,-1,1,38438,NUM,2,mixed
0.0,unresolved,shorter,0,1,38438,PART,1,mixed
0.0,unresolved,shorter,0,2,38438,PRON,2,mixed
0.04477611940298507,unresolved,shorter,3,10,38438,VERB,7,mixed
0.09090909090909091,lost,shorter,10,13,398726,ADJ,3,mixed
0.1,lost,shorter,11,16,398726,ADP,5,mixed
0.00909090909090909,lost,shorter,1,2,398726,ADV,1,mixed
0.01818181818181818,lost,shorter,2,4,398726,AUX,2,mixed
0.01818181818181818,lost,shorter,2,5,398726,CCONJ,3,mixed
0.12727272727272726,lost,shorter,14,27,398726,DET,13,mixed
0.11818181818181818,lost,shorter,13,28,398726,NOUN,15,mixed
0.00909090909090909,lost,shorter,1,3,398726,NUM,2,mixed
0.00909090909090909,lost,shorter,1,1,398726,PART,0,mixed
-0.01818181818181818,lost,shorter,-2,1,398726,PRON,3,mixed
0.00909090909090909,lost,shorter,1,1,398726,PROPN,0,mixed
0.01818181818181818,lost,shorter,2,9,398726,VERB,7,mixed
0.053763440860215055,lost,shorter,5,7,260370,ADJ,2,lost
0.06451612903225806,lost,shorter,6,8,260370,ADP,2,lost
0.053763440860215055,lost,shorter,5,5,260370,ADV,0,lost
0.053763440860215055,lost,shorter,5,7,260370,AUX,2,lost
0.010752688172043012,lost,shorter,1,2,260370,CCONJ,1,lost
0.15053763440860216,lost,shorter,14,19,260370,DET,5,lost
0.1827956989247312,lost,shorter,17,22,260370,NOUN,5,lost
0.010752688172043012,lost,shorter,1,1,260370,PART,0,lost
0.053763440860215055,lost,shorter,5,6,260370,PRON,1,lost
0.021505376344086023,lost,shorter,2,2,260370,SCONJ,0,lost
0.11827956989247312,lost,shorter,11,14,260370,VERB,3,lost
0.047058823529411764,unresolved,shorter,4,6,113173,ADJ,2,unresolved
0.10588235294117647,unresolved,shorter,9,11,113173,ADP,2,unresolved
-0.011764705882352941,unresolved,shorter,-1,0,113173,ADV,1,unresolved
0.0,unresolved,shorter,0,3,113173,AUX,3,unresolved
0.0,unresolved,shorter,0,2,113173,CCONJ,2,unresolved
0.15294117647058825,unresolved,shorter,13,17,113173,DET,4,unresolved
0.2235294117647059,unresolved,shorter,19,25,113173,NOUN,6,unresolved
0.011764705882352941,unresolved,shorter,1,1,113173,PART,0,unresolved
0.058823529411764705,unresolved,shorter,5,6,113173,PRON,1,unresolved
0.011764705882352941,unresolved,shorter,1,1,113173,SCONJ,0,unresolved
0.11764705882352941,unresolved,shorter,10,13,113173,VERB,3,unresolved
0.04040404040404041,lost,shorter,4,7,64189,ADJ,3,mixed
0.10101010101010101,lost,shorter,10,13,64189,ADP,3,mixed
0.010101010101010102,lost,shorter,1,2,64189,ADV,1,mixed
0.030303030303030304,lost,shorter,3,6,64189,AUX,3,mixed
0.020202020202020204,lost,shorter,2,3,64189,CCONJ,1,mixed
0.12121212121212122,lost,shorter,12,20,64189,DET,8,mixed
0.1717171717171717,lost,shorter,17,28,64189,NOUN,11,mixed
0.020202020202020204,lost,shorter,2,2,64189,PART,0,mixed
0.030303030303030304,lost,shorter,3,3,64189,PRON,0,mixed
0.010101010101010102,lost,shorter,1,2,64189,SCONJ,1,mixed
0.08080808080808081,lost,shorter,8,13,64189,VERB,5,mixed
0.08823529411764706,unchanged,shorter,6,8,18291,ADJ,2,mixed
0.07352941176470588,unchanged,shorter,5,9,18291,ADP,4,mixed
0.014705882352941176,unchanged,shorter,1,1,18291,ADV,0,mixed
0.014705882352941176,unchanged,shorter,1,3,18291,AUX,2,mixed
-0.014705882352941176,unchanged,shorter,-1,2,18291,CCONJ,3,mixed
0.1323529411764706,unchanged,shorter,9,14,18291,DET,5,mixed
0.11764705882352941,unchanged,shorter,8,18,18291,NOUN,10,mixed
0.014705882352941176,unchanged,shorter,1,2,18291,PRON,1,mixed
0.014705882352941176,unchanged,shorter,1,1,18291,PROPN,0,mixed
0.07352941176470588,unchanged,shorter,5,10,18291,VERB,5,mixed
0.1,unchanged,shorter,8,9,359751,ADJ,1,unresolved
0.0875,unchanged,shorter,7,14,359751,ADP,7,unresolved
0.0125,unchanged,shorter,1,1,359751,ADV,0,unresolved
-0.0125,unchanged,shorter,-1,2,359751,AUX,3,unresolved
0.025,unchanged,shorter,2,3,359751,CCONJ,1,unresolved
0.1375,unchanged,shorter,11,17,359751,DET,6,unresolved
0.1125,unchanged,shorter,9,20,359751,NOUN,11,unresolved
0.0,unchanged,shorter,0,2,359751,NUM,2,unresolved
0.0125,unchanged,shorter,1,1,359751,PART,0,unresolved
0.0125,unchanged,shorter,1,3,359751,PRON,2,unresolved
0.05,unchanged,shorter,4,8,359751,VERB,4,unresolved
0.12195121951219512,unresolved,shorter,10,12,404462,ADJ,2,unresolved
0.10975609756097561,unresolved,shorter,9,11,404462,ADP,2,unresolved
0.012195121951219513,unresolved,shorter,1,1,404462,ADV,0,unresolved
0.036585365853658534,unresolved,shorter,3,4,404462,AUX,1,unresolved
0.04878048780487805,unresolved,shorter,4,7,404462,CCONJ,3,unresolved
0.15853658536585366,unresolved,shorter,13,17,404462,DET,4,unresolved
0.1951219512195122,unresolved,shorter,16,21,404462,NOUN,5,unresolved
0.036585365853658534,unresolved,shorter,3,3,404462,NUM,0,unresolved
0.012195121951219513,unresolved,shorter,1,1,404462,PART,0,unresolved
0.0,unresolved,shorter,0,1,404462,PRON,1,unresolved
0.036585365853658534,unresolved,shorter,3,4,404462,VERB,1,unresolved
0.02857142857142857,unresolved,shorter,2,2,326667,ADJ,0,unresolved
0.14285714285714285,unresolved,shorter,10,11,326667,ADP,1,unresolved
0.02857142857142857,unresolved,shorter,2,2,326667,ADV,0,unresolved
0.02857142857142857,unresolved,shorter,2,3,326667,AUX,1,unresolved
0.014285714285714285,unresolved,shorter,1,1,326667,CCONJ,0,unresolved
0.15714285714285714,unresolved,shorter,11,13,326667,DET,2,unresolved
0.2714285714285714,unresolved,shorter,19,21,326667,NOUN,2,unresolved
0.014285714285714285,unresolved,shorter,1,1,326667,PART,0,unresolved
0.04285714285714286,unresolved,shorter,3,3,326667,PRON,0,unresolved
0.04285714285714286,unresolved,shorter,3,3,326667,SCONJ,0,unresolved
0.12857142857142856,unresolved,shorter,9,10,326667,VERB,1,unresolved
0.056179775280898875,unresolved,shorter,5,5,396768,ADJ,0,lost
0.11235955056179775,unresolved,shorter,10,14,396768,ADP,4,lost
